date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
1992-10-01,7.9,,3732.59,11034.05,,,,,
1992-11-01,8.2,,3989.1,11452.78,,,,,
1992-12-01,8.8,26923.5,4336.0,11731.5,25402.2,,,,
1993-01-01,10.3,,4354.1,13586.77,27243.07,,,,
1993-02-01,10.8,,4456.0,13809.63,27678.33,,,,
1993-03-01,12.2,6500.5,4557.9,14032.5,28113.6,,,,
1993-04-01,12.6,,4659.8,14255.37,28548.87,,,,
1993-05-01,14.0,,4693.77,14329.66,28984.13,,,,
1993-06-01,15.1,14543.5,4863.6,14701.1,29419.4,,,,
1993-07-01,16.2,,4934.0,14608.37,29730.67,,,,
1993-08-01,16.4,,4957.47,14577.46,29834.42,,,,
1993-09-01,15.7,23591.5,5074.8,14422.9,30353.2,,,,
1993-10-01,15.9,,5338.1,15042.07,31334.07,,,,
1993-11-01,16.7,,5425.87,15248.46,31661.02,,,,
1993-12-01,18.8,35333.9,5864.7,16280.4,33295.8,,,,
1994-01-01,21.1,,5854.67,16332.6,34010.27,,,,
1994-02-01,23.2,,5851.32,16350.0,34248.42,,,,
1994-03-01,22.4,9064.7,5834.6,16437.0,35439.2,,,,
1994-04-01,21.7,,5816.9,16850.13,36390.33,,,,
1994-05-01,21.3,,5811.0,16987.84,36707.38,,,,
1994-06-01,22.6,20149.7,5781.5,17676.4,38292.6,,,,
1994-07-01,24.0,,5991.97,18120.77,39369.77,,,,
1994-08-01,25.8,,6062.12,18268.89,39728.82,,,,
1994-09-01,27.3,32596.6,6412.9,19009.5,41524.1,,,,
1994-10-01,27.7,,6704.8,19519.9,42625.13,,,,
1994-11-01,27.5,,6802.1,19690.03,42992.14,,,,
1994-12-01,25.5,48197.9,7288.6,20540.7,44827.2,,,,
1995-01-01,24.1,,9141.0,20856.66,45875.9,,,,
1995-02-01,22.4,,7765.0,20018.57,46225.47,,,,
1995-03-01,21.3,11858.5,7271.0,19835.7,47973.3,,,,
1995-04-01,20.7,,7268.0,19994.38,48878.1,,,,
1995-05-01,20.3,,7046.0,20050.43,49179.7,,,,
1995-06-01,18.2,25967.6,7004.0,20050.12,50687.7,,,,
1995-07-01,16.7,,7093.0,20425.89,51872.73,,,,
1995-08-01,14.5,,7242.0,22354.0,52267.74,,,,
1995-09-01,13.2,41502.6,7369.0,22500.0,54242.8,,,,
1995-10-01,12.1,,7420.06,22886.04,55579.2,,,,
1995-11-01,11.2,,7733.0,23428.03,56024.67,,,,
1995-12-01,10.1,60793.7,7885.0,23987.33,58252.0,,,,
1996-01-01,9.0,,8600.0,25195.0,58401.0,,,,
1996-02-01,9.3,,9301.0,25255.6,63778.0,,,,
1996-03-01,9.8,14261.2,8169.0,23909.0,64511.0,,,,
1996-04-01,9.7,,7894.94,24145.0,65723.0,,,,
1996-05-01,8.9,,7706.0,24463.0,66880.0,,,,
1996-06-01,8.6,30861.8,7666.0,24600.0,68132.0,,,,
1996-07-01,8.3,,7809.31,25078.0,69346.0,,,,
1996-08-01,8.1,,8093.35,25729.45,72309.0,,,,
1996-09-01,7.4,48533.1,8409.0,26230.0,69643.0,,,,
1996-10-01,7.0,,8405.0,26798.2,73152.2,,,,
1996-11-01,6.9,,8705.0,27422.0,74142.0,,,,
1996-12-01,7.0,71176.6,8802.01,28515.0,76094.9,,,,
1997-01-01,5.9,,11493.0,30573.0,78648.0,,,,
1997-02-01,5.6,,10080.0,29103.0,78998.0,,,,
1997-03-01,4.0,16256.7,9282.0,29058.0,79889.0,,,,
1997-04-01,3.2,,9277.0,29991.0,80818.0,,,,
1997-05-01,2.8,,9066.0,30275.0,81151.0,,,,
1997-06-01,2.8,34954.3,9122.0,31074.0,82789.0,,,,
1997-07-01,2.7,,9127.0,31100.0,83460.0,,,,
1997-08-01,1.9,,9327.0,31594.99,84746.0,,,,
1997-09-01,1.8,54102.4,9426.0,32245.0,85892.0,,,,
1997-10-01,1.5,,9489.0,32422.0,86644.0,,,,
1997-11-01,1.1,,9784.58,32909.0,87590.0,,,,
1997-12-01,0.4,78973.0,10177.6,34826.27,90995.3,,,,
1998-01-01,0.3,,13108.4,35585.6,92211.4,,,,
1998-02-01,-0.1,,10886.06,33395.0,92024.0,,,,
1998-03-01,0.7,17501.3,10201.04,33110.0,92015.0,,,,
